utterance,utter_entity_1,utter_entity_2,utter_entity_3,utter_entity_4,utter_entity_5,utter_entity_6,utter_entity_7,entity_1,entity_2,entity_3,entity_4,entity_5,entity_6,intents
i need a vacation from january to march because i've been working endleesly without proper compensastion. or i quit,january,march,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Request a vacation with specific details
"Hi, i want a vacation that starts on june 7th and end on june 15th.",june 7th,june 15th,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Request a vacation with specific details
I need a vacation from May 31th to June 13th because I must visit my parents,May 31th,June 13th,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Request a vacation with specific details
your vacation from nov 10 to nov 30 was approved,10-Nov,30-Nov,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Request a vacation with specific details
I whis my vacations to return on july 31th,may 31th,july 31th,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Request a vacation with specific details
i want to change my vacation from feb 12 to feb 20,12-Feb,20-Feb,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Request a vacation with specific details
Im requesting a vacation from Feb 6th to Feb 10th as my cousin is getting married,Feb 6th,Feb 10th,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Request a vacation with specific details
I want a leave for going on a vacation from 21st February to 28th February.,21st February,28th February,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Request a vacation with specific details
I need vacation for this period because trip with family.,3/1/2020,7,paid time off,family trip,,,,Start Date of Vacation,Number of Vacation Days,"Vacation Type (Sick, Paid Time Off, Maternity Leave, Unpaid, etc.)",Reason for Vacation,,,Request a vacation with specific details
"Please make plans for my paid time off vacations starting on january 3 and finishing on january 13, i'm traveling to France",3-Jan,13-Jan,Paid Time Off,Traveling to France,,,,Start Date of Vacation,Number of Vacation Days,"Vacation Type (Sick, Paid Time Off, Maternity Leave, Unpaid, etc.)",Reason for Vacation,,,Request a vacation with specific details
"I want to have a vacation, because the Maternity Leave, my doctor told me that I will be in labor at January 10th, so I need 7 days for that.",January 10th,7,Maternity Leave,Labor,,,,Start Date of Vacation,Number of Vacation Days,"Vacation Type (Sick, Paid Time Off, Maternity Leave, Unpaid, etc.)",Reason for Vacation,,,Request a vacation with specific details
I want a pleasure trip for december 12th for 15 days please for my free time,december 12th,15 days,free time,pleasure,,,,Start Date of Vacation,Number of Vacation Days,"Vacation Type (Sick, Paid Time Off, Maternity Leave, Unpaid, etc.)",Reason for Vacation,,,Request a vacation with specific details
I need an unpaid vacation from January 10th to January 25th for family reason.,January 10th,January 25th,Unpaid,family reason,,,,Start Date of Vacation,Number of Vacation Days,"Vacation Type (Sick, Paid Time Off, Maternity Leave, Unpaid, etc.)",Reason for Vacation,,,Request a vacation with specific details
I want a vacation of 7 days starting on the first of july of the type sick because of sickness reasons.,first of july,7,sick,sickness,,,,Start Date of Vacation,Number of Vacation Days,"Vacation Type (Sick, Paid Time Off, Maternity Leave, Unpaid, etc.)",Reason for Vacation,,,Request a vacation with specific details
"i need a urgent vacation of 04/25/2020 for 15 days , am sick with flu",4/25/2020,15,sick,flu,,,,Start Date of Vacation,Number of Vacation Days,"Vacation Type (Sick, Paid Time Off, Maternity Leave, Unpaid, etc.)",Reason for Vacation,,,Request a vacation with specific details
"I have suffering from fever for 7 days, so I need sick leave for 5 day's starting from 25 th February.",25 th February,5,Sick leave,Fever,,,,Start Date of Vacation,Number of Vacation Days,"Vacation Type (Sick, Paid Time Off, Maternity Leave, Unpaid, etc.)",Reason for Vacation,,,Request a vacation with specific details
I need to take my sick vacations (20 days) to start on june 01st due personal reasons,june 01st,20,sick,personal reasons,,,,Start Date of Vacation,Number of Vacation Days,"Vacation Type (Sick, Paid Time Off, Maternity Leave, Unpaid, etc.)",Reason for Vacation,,,Request a vacation with specific details
"Hello, can i take vacations for the 25 day?",25/03/2020,30,Maternity leave,Family,,,,Start Date of Vacation,Number of Vacation Days,"Vacation Type (Sick, Paid Time Off, Maternity Leave, Unpaid, etc.)",Reason for Vacation,,,Request a vacation with specific details
"I want paid time off from july 23 to august 13, cause I need to rest",23-Jul,13-Aug,paid time off,rest,,,,Start Date of Vacation,Number of Vacation Days,"Vacation Type (Sick, Paid Time Off, Maternity Leave, Unpaid, etc.)",Reason for Vacation,,,Request a vacation with specific details
i need to request a paid time off for travel starting from 20/02/202 and it will last 8 days,20/02(2020,8,paid time off,travel,,,,Start Date of Vacation,Number of Vacation Days,"Vacation Type (Sick, Paid Time Off, Maternity Leave, Unpaid, etc.)",Reason for Vacation,,,Request a vacation with specific details
the vacation on may 4 was approved for treatment of illness for 5 days,4-May,5,illness,treatment,,,,Start Date of Vacation,Number of Vacation Days,"Vacation Type (Sick, Paid Time Off, Maternity Leave, Unpaid, etc.)",Reason for Vacation,,,Request a vacation with specific details
"I want to request a vacation on may 5th for 10 days, because I have a trip prepared to have time with my family.",may 5th,10,trip,time with my family,,,,Start Date of Vacation,Number of Vacation Days,"Vacation Type (Sick, Paid Time Off, Maternity Leave, Unpaid, etc.)",Reason for Vacation,,,Request a vacation with specific details
I want to ask for a 10-day vacation since October 13th because I am sick and have health related problems,October 13th,10,sick,health,,,,Start Date of Vacation,Number of Vacation Days,"Vacation Type (Sick, Paid Time Off, Maternity Leave, Unpaid, etc.)",Reason for Vacation,,,Request a vacation with specific details
I need a sick vacation of 10 days from jan 2nd because of the knee surgery,jan 2nd,10,sick,knee surgery,,,,Start Date of Vacation,Number of Vacation Days,"Vacation Type (Sick, Paid Time Off, Maternity Leave, Unpaid, etc.)",Reason for Vacation,,,Request a vacation with specific details
I want a sick leave for 10 days from 1st March to visit doctor who lives in another state.,1st March,10,Sick,visit doctor,,,,Start Date of Vacation,Number of Vacation Days,"Vacation Type (Sick, Paid Time Off, Maternity Leave, Unpaid, etc.)",Reason for Vacation,,,Request a vacation with specific details
i nedd a paid time off vacation from the date 05/05/1993 to 05/05/2022 so i can travel and work in othe country,5/5/1993,5/5/2022,paid time off,travel and work,,,,Start Date of Vacation,End of Date of Vacation,"Vacation Type (Sick, Paid Time Off, Maternity Leave, etc.)",Reason for Vacation,,,Request a vacation with specific details
Because of my Europe travel i'm going to need a paid time off vacations from january 1 to january 15,1-Jan,15-Jan,paid time off,Europe Travel,,,,Start Date of Vacation,End of Date of Vacation,"Vacation Type (Sick, Paid Time Off, Maternity Leave, etc.)",Reason for Vacation,,,Request a vacation with specific details
"I need a vacation form June 10th to June 30th, because I am sick and I need to be examined in the hospital.",June 10th,June 30th,Sick,I need to be examined in the hospital,,,,Start Date of Vacation,End of Date of Vacation,"Vacation Type (Sick, Paid Time Off, Maternity Leave, etc.)",Reason for Vacation,,,Request a vacation with specific details
I want a paid time off vacation from February 18 to February 28 to go on my wedding trip.,18-Feb,28-Feb,paid time off,wedding trip,,,,Start Date of Vacation,End of Date of Vacation,"Vacation Type (Sick, Paid Time Off, Maternity Leave, etc.)",Reason for Vacation,,,Request a vacation with specific details
I want some pleasure vacations for being sick from February 02th to February 20th,February 02th,February 20th,sick,pleasure,,,,Start Date of Vacation,End of Date of Vacation,"Vacation Type (Sick, Paid Time Off, Maternity Leave, etc.)",Reason for Vacation,,,Request a vacation with specific details
i want to change my vacation from jan 3rd to may 23 to be between january 7th and february 10th,jan 3rd,23-Feb,january 7th,february 10th,,,,Start Date of Vacation,End of Date of Vacation,"Vacation Type (Sick, Paid Time Off, Maternity Leave, etc.)",Reason for Vacation,,,Request a vacation with specific details
Let me approved the sick vacation for Mr. Angel due to his health. It is requested from 01/01/2020 to 30/01/2020,1/1/2020,30/01/2020,Sick vacation,Health,,,,Start Date of Vacation,End of Date of Vacation,"Vacation Type (Sick, Paid Time Off, Maternity Leave, etc.)",Reason for Vacation,,,Request a vacation with specific details
i want to change my vacations from feb 12 to feb 28 for treatment of illness,12-Feb,28-Feb,illness,treatment,,,,Start Date of Vacation,End of Date of Vacation,"Vacation Type (Sick, Paid Time Off, Maternity Leave, etc.)",Reason for Vacation,,,Request a vacation with specific details
"I had been feeling really sick, for that reason I need to request a Sick vacation from March 10th to March 15th.",March 10th,March 15th,Sick,Sickness,,,,Start Date of Vacation,End of Date of Vacation,"Vacation Type (Sick, Paid Time Off, Maternity Leave, etc.)",Reason for Vacation,,,Request a vacation with specific details
i request my vacation from 01/01/2020 to 02/02/2020 since i have a medical permit for my pregnancy,1/1/2020,2/2/2020,pregnancy,medical permit,,,,Start Date of Vacation,End of Date of Vacation,"Vacation Type (Sick, Paid Time Off, Maternity Leave, etc.)",Reason for Vacation,,,Request a vacation with specific details
"gimme a sick vacation,i have disease,starting from january 12th till february 10th.",january 12th,february 10th,sick,disease,,,,Start Date of Vacation,End of Date of Vacation,"Vacation Type (Sick, Paid Time Off, Maternity Leave, etc.)",Reason for Vacation,,,Request a vacation with specific details
I need to take my sick vacations to start on june 04th and end on july 05th due personal reasons,june 04th,july 05th,sick,personal reasons,,,,Start Date of Vacation,End of Date of Vacation,"Vacation Type (Sick, Paid Time Off, Maternity Leave, etc.)",Reason for Vacation,,,Request a vacation with specific details
"I want paid time off from july 6 to august 10, cause I need to rest",6-Jul,10-Aug,paid time off,rest,,,,Start Date of Vacation,End of Date of Vacation,"Vacation Type (Sick, Paid Time Off, Maternity Leave, etc.)",Reason for Vacation,,,Request a vacation with specific details
your vacations from sep 3 to sep 30 for treatment of maternity was approved,3-Sep,30-Sep,maternity,treatment,,,,Start Date of Vacation,End of Date of Vacation,"Vacation Type (Sick, Paid Time Off, Maternity Leave, etc.)",Reason for Vacation,,,Request a vacation with specific details
Please request Maternity Leave vacation starting on january 14 and ending o march 31 the reason are my wife will soon give birth,14-Jan,31-Mar,Maternity Leave,wife will soon give birth,,,,Start Date of Vacation,End of Date of Vacation,"Vacation Type (Sick, Paid Time Off, Maternity Leave, etc.)",Reason for Vacation,,,Request a vacation with specific details
I need to go on vacation on may 1th and return on the 30th of the same month,may 01th,may 30th,Paid Time Off,Holidays expiration,,,,Start Date of Vacation,End of Date of Vacation,"Vacation Type (Sick, Paid Time Off, Maternity Leave, etc.)",Reason for Vacation,,,Request a vacation with specific details
"I would need sick leave starting on January 7th till January 10th, because I have flu.",January 7th,January 10th,sick leave,flu,,,,Start Date of Vacation,End of Date of Vacation,"Vacation Type (Sick, Paid Time Off, Maternity Leave, etc.)",Reason for Vacation,,,Request a vacation with specific details
"Hello, would like to solicit a paid time off vacation between 18th of July and 25 of July. now that business season is over I need to recharge my battteries.",18th of july,25 of july,paid time off,business season is over,,,,Start Date of Vacation,End of Date of Vacation,"Vacation Type (Sick, Paid Time Off, Maternity Leave, etc.)",Reason for Vacation,,,Request a vacation with specific details
Please edit my vacations of May 1 from 15 days to just 10 days,1-May,15,10,,,,,Original Start Date,Old Number Of Days in Vacation,New Number of Days in Vacation,,,,Edit a vacation you have already submitted
Edit my vacation which starts 05 of April from 21 days to 14 days.,05 of April,21,14,,,,,Original Start Date,Old Number Of Days in Vacation,New Number of Days in Vacation,,,,Edit a vacation you have already submitted
Change the number of days for my February 20 vacation from 10 days to 15 days.,20-Feb,10 days,15 days,,,,,Original Start Date,Old Number Of Days in Vacation,New Number of Days in Vacation,,,,Edit a vacation you have already submitted
I want to change my vacation from February 02th from 15 days to 20 days please,February 02th,15 days,20 days,,,,,Original Start Date,Old Number Of Days in Vacation,New Number of Days in Vacation,,,,Edit a vacation you have already submitted
i that change my vacation from jan 2 to jan28 to be between february 6,2-Jan,6-Feb,dicember 5,,,,,Original Start Date,Old Number Of Days in Vacation,New Number of Days in Vacation,,,,Edit a vacation you have already submitted
I need to change the number of days in my vacations: 20 to 30. My vacations start on january 03th,january 03th,20,30,,,,,Original Start Date,Old Number Of Days in Vacation,New Number of Days in Vacation,,,,Edit a vacation you have already submitted
"We need to edit the Raul vacation and reduce the day from 30 days to 20 days, according the law, with a original date 05/05/2019",5/5/2019,30,20,,,,,Original Start Date,Old Number Of Days in Vacation,New Number of Days in Vacation,,,,Edit a vacation you have already submitted
i want to change my vacation from 5 days to 6 days on feb 23,23-Feb,5,6,,,,,Original Start Date,Old Number Of Days in Vacation,New Number of Days in Vacation,,,,Edit a vacation you have already submitted
"Please change my vacations day, it was start October 20, but now I need more days, 14 instead 7.",20-Oct,7,14,,,,,Original Start Date,Old Number Of Days in Vacation,New Number of Days in Vacation,,,,Edit a vacation you have already submitted
"edit old and add new vacation from 7 to 14 days,starting from january 12.",12-Jan,7,14,,,,,Original Start Date,Old Number Of Days in Vacation,New Number of Days in Vacation,,,,Edit a vacation you have already submitted
I want my vacation that stars on july 20 to be changed from 8 days to 10 days,20-Jul,8,10,,,,,Original Start Date,Old Number Of Days in Vacation,New Number of Days in Vacation,,,,Edit a vacation you have already submitted
your vacation on march 4 of 12 days was changed for 15 days,4-Mar,12,15,,,,,Original Start Date,Old Number Of Days in Vacation,New Number of Days in Vacation,,,,Edit a vacation you have already submitted
Please change vacations days which start on may 2 of 31 to 62 days,2-May,31,62,,,,,Original Start Date,Old Number Of Days in Vacation,New Number of Days in Vacation,,,,Edit a vacation you have already submitted
"hi, please change my vacation days number, from 10 to 14 days. thanks",5-May,10 days,14 days,,,,,Original Start Date,Old Number Of Days in Vacation,New Number of Days in Vacation,,,,Edit a vacation you have already submitted
I want to modify a vacation i sent today,january 30th,30 days,28 days,,,,,Original Start Date,Old Number Of Days in Vacation,New Number of Days in Vacation,,,,Edit a vacation you have already submitted
Could I change the request for a vacation starting on Jan 13th? I would like to use 12 days instead of 8.,Jan 13th,8,12,,,,,Original Start Date,Old Number Of Days in Vacation,New Number of Days in Vacation,,,,Edit a vacation you have already submitted
"Hello, I need 3 extra days of vaction starting 25 of May. So from 12 days it would be 15 now.I have some personal issues to handle.",25 of May,12,15,,,,,Original Start Date,Old Number Of Days in Vacation,New Number of Days in Vacation,,,,Edit a vacation you have already submitted
Please make the dates of my vacations from march 3 to march 10 instead march 3 to march 13,3-Mar,13-Mar,3-Mar,10-Mar,,,,Original Start Date,Original End Date,New Start Date,New End Date,,,Edit a vacation you have already submitted
"i want my date of vacation of 1th of july to 15th of august, for 10th of july to 10th of august",1th of july,15th of august,10th of july,10th of august,,,,Original Start Date,Original End Date,New Start Date,New End Date,,,Edit a vacation you have already submitted
i need to take my vacations on july 01st instead june 22nd and ends on august 02nd instead on july 20th,june 22nd,july 20th,july 01st,august 02nd,,,,Original Start Date,Original End Date,New Start Date,New End Date,,,Edit a vacation you have already submitted
i want to change my vaction date which start from 12 to 18 and the new shecudle is 15 to 18,12,18,15,18,,,,Original Start Date,Original End Date,New Start Date,New End Date,,,Edit a vacation you have already submitted
Change the days of the vacation that started on march 10th and went until march 15th to march 20th until march 25th,march 10th,march 15th,march 20th,march 25th,,,,Original Start Date,Original End Date,New Start Date,New End Date,,,Edit a vacation you have already submitted
i want to change my vacation from january 5 to january 21 to be between january 15 to january 31,5-Jan,21-Jan,15-Jan,31-Jan,,,,Original Start Date,Original End Date,New Start Date,New End Date,,,Edit a vacation you have already submitted
edit my vacation from january first - january 22th to march first - march 22th,january first,january 22th,march first,march 22th,,,,Original Start Date,Original End Date,New Start Date,New End Date,,,Edit a vacation you have already submitted
i wnat to chage my vacation from june 3 ti june 15 to between from june 7 to june 21,3-Jun,15-Jun,7-Jun,21-Jun,,,,Original Start Date,Original End Date,New Start Date,New End Date,,,Edit a vacation you have already submitted
Make my vacation that was from july 15 to august 15 to be from july 20 to august 20 please,15-Jul,15-Aug,20-Jul,20-Aug,,,,Original Start Date,Original End Date,New Start Date,New End Date,,,Edit a vacation you have already submitted
Please change vacation date which start on june 1 to august 1 and edit to august 15 to september 15,1-Jun,1-Aug,15-Aug,15-Sep,,,,Original Start Date,Original End Date,New Start Date,New End Date,,,Edit a vacation you have already submitted
"I need to change my starting date from January 1 to January 7, to January 7 to January 30.",1-Jan,7-Jan,8-Jan,30-Jan,,,,Original Start Date,Original End Date,New Start Date,New End Date,,,Edit a vacation you have already submitted
Reverse my schedule vacation sended yesterday from 01/02/2019 to 30/02/2019 for this new date: 01/03/2019 to 30/03/2019,1/2/2019,30/02/2019,1/3/2019,30/03/2019,,,,Original Start Date,Original End Date,New Start Date,New End Date,,,Edit a vacation you have already submitted
can you please edit my vacation that was from 20/02/2020 to 28/02/2020 to start from 25/02/2020 and end in 04/03/2020 please,20/02/2020,28/02(2020,25/02/2020,4/3/2020,,,,Original Start Date,Original End Date,New Start Date,New End Date,,,Edit a vacation you have already submitted
"I want to edit a vacation date, original date was on may 1st to may 9th. New start date is on may 5th and end date is on may 15th.",may 1st,may 9th,may 5th,may 15th,,,,Original Start Date,Original End Date,New Start Date,New End Date,,,Edit a vacation you have already submitted
Please edit my vacation of april 2 to from paid off time to maternity leave,2-Apr,paid off,maternity leave,,,,,Start Date of Vacation,Old Vacation Type,New Vacation Type,,,,Edit a vacation you have already submitted
"i need my vacation this year 02/02/2020 , my last year was 02/02/2019 and my next vacation is 02/02/2021",2/2/2020,2/2/2019,2/2/2021,,,,,Start Date of Vacation,Old Vacation Type,New Vacation Type,,,,Edit a vacation you have already submitted
I need to take my normal vacations on april 25th instead my christmas holidays,april 25th,christmas holidays,normal vacations,,,,,Start Date of Vacation,Old Vacation Type,New Vacation Type,,,,Edit a vacation you have already submitted
please edit my vacatin type from sick to travel which start from 12 jan,12th jan,sick,travel,,,,,Start Date of Vacation,Old Vacation Type,New Vacation Type,,,,Edit a vacation you have already submitted
I want to change the type of vacation of the vacation of june 4th to june 8th to the type sick.,june 4th,june 8th,sick,,,,,Start Date of Vacation,Old Vacation Type,New Vacation Type,,,,Edit a vacation you have already submitted
change me the valentine's day vacation of february 14th to single-again's day vacation,february 14th,valentine's day,single-again's day,,,,,Start Date of Vacation,Old Vacation Type,New Vacation Type,,,,Edit a vacation you have already submitted
the vacation on may 4 was for illness now is for treatment,4-May,illness,treatment,,,,,Start Date of Vacation,Old Vacation Type,New Vacation Type,,,,Edit a vacation you have already submitted
Change my camping trip to a beach trip on july 12,12-Jul,camping trip,beach trip,,,,,Start Date of Vacation,Old Vacation Type,New Vacation Type,,,,Edit a vacation you have already submitted
Can you edit vacations type maternity to pleasure starting on september 31,Sep-31,Maternity,Pleasure,,,,,Start Date of Vacation,Old Vacation Type,New Vacation Type,,,,Edit a vacation you have already submitted
"I need to change my vacation type from Maternity Leave to Sick, which starts at March 10.",10-Mar,Maternity Leave,Sick,,,,,Start Date of Vacation,Old Vacation Type,New Vacation Type,,,,Edit a vacation you have already submitted
Delete my health vacation submitted yesterday for a rest vacation from 05/05/2017 to 25/05/2017,5/5/2017,health,rest,,,,,Start Date of Vacation,Old Vacation Type,New Vacation Type,,,,Edit a vacation you have already submitted
can you please edit my vacation from 20/20/2020 from skiing trip to business travel,20/02/2020,skiing,business travel,,,,,Start Date of Vacation,Old Vacation Type,New Vacation Type,,,,Edit a vacation you have already submitted
edit the old sick and add a new health vacation on may 10th,may 10th,sick,health,,,,,Start Date of Vacation,Old Vacation Type,New Vacation Type,,,,Edit a vacation you have already submitted
"I want to edit a vacation i have already submitted, new start date on december 1st, old type was for travelling, but now is for a personal problem.",december 1st,travelling,personal problem,,,,,Start Date of Vacation,Old Vacation Type,New Vacation Type,,,,Edit a vacation you have already submitted
How many days of vacation i have?,,,,,,,,,,,,,,Ask about remaining vacation days
How many days of vacation are left?,,,,,,,,,,,,,,Ask about remaining vacation days
"Please, I would like to know how many days of my paid off vacations left to me, I need to go back to work.",,,,,,,,,,,,,,Ask about remaining vacation days
How many days of vacations do i have left,,,,,,,,,,,,,,Ask about remaining vacation days
How many days remain till vacation?,,,,,,,,,,,,,,Ask about remaining vacation days
How many vacation days do I still have the right to request?,,,,,,,,,,,,,,Ask about remaining vacation days
how many remaining vacation days?,,,,,,,,,,,,,,Ask about remaining vacation days
How many vacation days remains me,,,,,,,,,,,,,,Ask about remaining vacation days
I need to take the rest of my remaining vacation days on june 01st ad end on june 08th,,,,,,,,,,,,,,Ask about remaining vacation days
"I am trying to keep my actual days for my vacation, if it is possible",,,,,,,,,,,,,,Ask about remaining vacation days
What are my remaining vacation days?,,,,,,,,,,,,,,Ask about remaining vacation days
Can you please tell me how many days i have left to use of my vacation days,,,,,,,,,,,,,,Ask about remaining vacation days
how many days do I have of vacations,,,,,,,,,,,,,,Ask about remaining vacation days
how many days left over my vacations?,,,,,,,,,,,,,,Ask about remaining vacation days
"Hi, i would like to know how many days of vacation I have left.",,,,,,,,,,,,,,Ask about remaining vacation days
how many days of vacations are left?,,,,,,,,,,,,,,Ask about remaining vacation days
how many days of vacation do i hace left,,,,,,,,,,,,,,Ask about remaining vacation days
Let me know how many outstanding vacation days do yoy have?,,,,,,,,,,,,,,Ask about remaining vacation days
how many vacation days have left,,,,,,,,,,,,,,Ask about remaining vacation days
how many days are left on my vacation,,,,,,,,,,,,,,Ask about remaining vacation days
How many days are left from my maternity leave?,maternity leave,,,,,,,Vacation Type,,,,,,Ask about remaining vacation days
i need a vacation for a few days because i had a accident of transit and fracture my leg,accident of transit,,,,,,,Vacation Type,,,,,,Ask about remaining vacation days
I want to know how many days of my christmas holidays remain,christmas holidays,,,,,,,Vacation Type,,,,,,Ask about remaining vacation days
sir please tell me that how many sick vacation days are left,sick,,,,,,,Vacation Type,,,,,,Ask about remaining vacation days
How many days can I still use as vacation days in order to take some time off?,time off,,,,,,,Vacation Type,,,,,,Ask about remaining vacation days
tell me how many days remains for my birthday vacation to end?,birthday vacation,,,,,,,Vacation Type,,,,,,Ask about remaining vacation days
how many days left on my vacation for treatment of illness,treatment,,,,,,,Vacation Type,,,,,,Ask about remaining vacation days
How many days are left of my paid time off?,paid time off,,,,,,,Vacation Type,,,,,,Ask about remaining vacation days
How many days remains to pleasure vacations,Pleasure,,,,,,,Vacation Type,,,,,,Ask about remaining vacation days
I would like to know how many days remains of my Maternity Leave.,Maternity Leave,,,,,,,Vacation Type,,,,,,Ask about remaining vacation days
How many days left from my health vacation of this year?,health vacation,,,,,,,Vacation Type,,,,,,Ask about remaining vacation days
how many day i have in remaining vacation days because i want to to to spa,spa,,,,,,,Vacation Type,,,,,,Ask about remaining vacation days
how many sick days of vacation do i still have,sick,,,,,,,Vacation Type,,,,,,Ask about remaining vacation days
How many days I have left of my vacations for travelling.,travelling,,,,,,,Vacation Type,,,,,,Ask about remaining vacation days
I want to cancel my vacation for this period.,1/1/2020,10/7/2020,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Cancel an existing vacation
Please cancel my vacations that started on march 1 until march 15,1-Mar,15-Mar,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Cancel an existing vacation
"I need to cancel my vacations from March 10th to March 17th, I did not pay my credit card and I do not have cash to pay it.",March 10th,March 17th,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Cancel an existing vacation
I want to cancel a holiday that begins on December 10th at culminates on December 25th please,December 10th,December 25th,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Cancel an existing vacation
Please cancel my existing vacation which starts June 10th and endsJune20th,June 10th,June 20th,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Cancel an existing vacation
I want to cancel the vacation of april 20th to april 25th,april 20th,april 25th,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Cancel an existing vacation
"i want cancel my vacations of 02/15/2020 to 03/15/2020 , for a emergency familiar",2/15/2020,3/15/2020,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Cancel an existing vacation
Please cancel my vacation that is start from 26 th February to 30 th February.,26 th February,30 th February,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Cancel an existing vacation
I need to cancel my existng vacations wich started on june 01st and end on august 03th,june 01st,august 03th,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Cancel an existing vacation
I won't go on vacation from july 20 to august 15,20-Jul,15-Aug,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Cancel an existing vacation
Please cancel vacation that i scheduled between 23rd and 28th of February this year,23/02/2020,28/02/2020,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Cancel an existing vacation
please cancel the vacation scheduled to february - april i dont need it anymore,february,april,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Cancel an existing vacation
I would like to cancel a vacation that was scheduled on november 9th to november 21st.,november 9th,november 21st,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Cancel an existing vacation
Please cancel the scheduled holydays from July 12th to August 12th,July 12th,August 12th,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Cancel an existing vacation
your vacation from dec 4 to dec 15 was cacelled,4-Dec,15-Dec,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Cancel an existing vacation
How can i end a vacation before februay 20th?,january 7th,february 20th,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Cancel an existing vacation
"Since the function was called off, Im canceling the vacation from 10th Sep to 12th Sep",10th Sep,12th Sep,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Cancel an existing vacation
I want to cancel my vacation Start on 14th February and end on 19th February.,14th February,19th february,,,,,,Start Date of Vacation,End of Date of Vacation,,,,,Cancel an existing vacation
Can you erase my travel vacation of may 1?,1-May,,,,,,,Start Date of Vacation,,,,,,Cancel an existing vacation
I want to cancel my scheduled vacation to Paris of April 15th because I do not have money enough to pay for it.,April 15th,,,,,,,Start Date of Vacation,,,,,,Cancel an existing vacation
I want to cancel a vacations resquested by 12th december,12th december,,,,,,,Start Date of Vacation,,,,,,Cancel an existing vacation
Cancel my existing vacation I provided on March 08,8-Mar,,,,,,,Start Date of Vacation,,,,,,Cancel an existing vacation
Could you please cancel the week of vacation that I had starting on the first of july.,first of july,,,,,,,Start Date of Vacation,,,,,,Cancel an existing vacation
"i want cancel my next vacation of 02/15/2020 , for a emergency personnel",2/15/2020,,,,,,,Start Date of Vacation,,,,,,Cancel an existing vacation
