utterance,utter_entity_1,utter_entity_2,utter_entity_3,utter_entity_4,utter_entity_5,utter_entity_6,utter_entity_7,entity_1,entity_2,entity_3,entity_4,entity_5,entity_6,intents
Can you retrieve interview to jason peter on 24 march,Jason Peter,24-Mar,,,,,,Name of person being interviewed,Date of Interview,,,,,Retrieve Interviewer's Feedback
We need to retrieve Nebojsha's feedback for the interview dated the 12th of December.,Nebojsha,12th of December,,,,,,Name of person being interviewed,Date of Interview,,,,,Retrieve Interviewer's Feedback
Would like to have the feedback of the Interviewer for Jack's job interview on the 23 of June.,Jack,23 of June,,,,,,Name of person being interviewed,Date of Interview,,,,,Retrieve Interviewer's Feedback
The best candidate on interview.,Samir Smith,2/2/2020,Good,Hire,,,,Name of person being interviewed,Date of Interview,Feedback,Decision (Hire or No Hire),,,Submit Interview Feedback
"Please submit my feedback to John for the interview of july 15 ""Good decision to hire him""",John,15-Jul,Good,Hire,,,,Name of person being interviewed,Date of Interview,Feedback,Decision (Hire or No Hire),,,Submit Interview Feedback
I had an interview of John Malcovich 12 of April - he is good candidate to hire,John Malcovich,12 of April,good candidate,hire,,,,Name of person being interviewed,Date of Interview,Feedback,Decision (Hire or No Hire),,,Submit Interview Feedback
"I just had a interview with Ana on the first of may and she I got a really positive impression of her, so I think we should hire her",Ana,first of may,positive,hire,,,,Name of person being interviewed,Date of Interview,Feedback,Decision (Hire or No Hire),,,Submit Interview Feedback
Please send Jason Andrew's interview of Friday 25 where he say that he was not have Not so much time for work on second job we decide no hire,Jason Andrew,Friday 25,Not so much time for work on second job,No Hire,,,,Name of person being interviewed,Date of Interview,Feedback,Decision (Hire or No Hire),,,Submit Interview Feedback
"Mr. Peter Cetera, in the interview on june 07th, and due your good knowledege, we have decided to hire",Peter Cetera,june 07th,good knowledge,hire,,,,Name of person being interviewed,Date of Interview,Feedback,Decision (Hire or No Hire),,,Submit Interview Feedback
"I had an interview with Jennifer on january 10 and she is smart, charismatic and creative, I want to hire her",Jennifer,10-Jan,"smart, charismatic and creative",hire,,,,Name of person being interviewed,Date of Interview,Feedback,Decision (Hire or No Hire),,,Submit Interview Feedback
"Angel Sanchez, is a nice worker.",Angel Sanchez,12/2/2020,Nice,Hire,,,,Name of person being interviewed,Date of Interview,Feedback,Decision (Hire or No Hire),,,Submit Interview Feedback
I want to say that your inerview from 07/02/2020 did not go well and i am sorry to inform you that you are not hired,Alex,7/2/2020,bad one,no hire,,,,Name of person being interviewed,Date of Interview,Feedback,Decision (Hire or No Hire),,,Submit Interview Feedback
the interview with jason in january 2019.mark his comprenhensive and great knowledge about the field. i recomend to hire,jason,19-Jan,comprenhensive and great knowledge about the field,hire,,,,Name of person being interviewed,Date of Interview,Feedback,Decision (Hire or No Hire),,,Submit Interview Feedback
Mr juan has benn hire 03/17/2020,juan,3/17/2020,"proactive,good experience",contract,,,,Name of person being interviewed,Date of Interview,Feedback,Decision (Hire or No Hire),,,Submit Interview Feedback
"I had an interwied with Jon Snow the 5th of january and he is intelligent, organized, we will hire him.",Jon Snow,5th of january,"intelligent, organized",hire,,,,Name of person being interviewed,Date of Interview,Feedback,Decision (Hire or No Hire),,,Submit Interview Feedback
I want to send comments from the interview with Mark Thompson on September 14th because he approved and I want to hire him because he will be effective,Mark Thompson,September 14th,effective,Hire him,,,,Name of person being interviewed,Date of Interview,Feedback,Decision (Hire or No Hire),,,Submit Interview Feedback
henry your interview on june 4 on work is hire,henry,4-Jun,work,hire,,,,Name of person being interviewed,Date of Interview,Feedback,Decision (Hire or No Hire),,,Submit Interview Feedback
please send me precise details of the interview with Nancy Mariguitar,Nancy Mariguitar,september 25th,political nuances of the world,accepted,,,,Name of person being interviewed,Date of Interview,Feedback,Decision (Hire or No Hire),,,Submit Interview Feedback
"I need the results about the interview made to Raul the date 01/02/2019, will he be hire?",Raul,1/2/2019,results,hire,,,,Name of person being interviewed,Date of Interview,Feedback,Decision (Hire or No Hire),,,Submit Interview Feedback
check in the calendar if today 11/02/2020 i have a 1 hour consultation?,11/2/2020,1 hour,,,,,,Date of inquiry,Time of inquiry,,,,,Check schedule of interviews (Do I have any interviews today)
do i have an interview today 02/12/2020 at 01:21 pm?,2/12/2020,1:21 PM,,,,,,Date of inquiry,Time of inquiry,,,,,Check schedule of interviews (Do I have any interviews today)
check me my scheduled interviews by february 20 at 11:15 am,20-Feb,11:15 AM,,,,,,Date of inquiry,Time of inquiry,,,,,Check schedule of interviews (Do I have any interviews today)
"Hi, I want to check if i have any interviews on june 5th at 3 pm.",june 5th,3:00 PM,,,,,,Date of inquiry,Time of inquiry,,,,,Check schedule of interviews (Do I have any interviews today)
I need to check if i have a requested interview for this day; 01/02/2018 at 15:00,1/2/2018,15:00,,,,,,Date of inquiry,Time of inquiry,,,,,Check schedule of interviews (Do I have any interviews today)
Is my interview for 21st February at 10:00 AM still pending or cancelled?,21st February,10:00 AM,,,,,,Date of inquiry,Time of inquiry,,,,,Check schedule of interviews (Do I have any interviews today)
Do i have a interview in march 27 at seven o'clock,27-Mar,seven o'clock,,,,,,Date of inquiry,Time of inquiry,,,,,Check schedule of interviews (Do I have any interviews today)
D i have any interview on 12th feb at 10: am,feb 12th,10:00 AM,,,,,,Date of inquiry,Time of inquiry,,,,,Check schedule of interviews (Do I have any interviews today)
can you tell me do i have any interviews on 03 february around 2 pm,3/2/2020,2:00 PM,,,,,,Date of inquiry,Time of inquiry,,,,,Check schedule of interviews (Do I have any interviews today)
what time is my work consultation 1 day february 12,12-Feb,1 day,,,,,,Date of inquiry,Time of inquiry,,,,,Check schedule of interviews (Do I have any interviews today)
the schedule of interview begin the 02/13/2020 and for a period time of 30 min,2/13/2020,30 min,,,,,,Date of inquiry,Time of inquiry,,,,,Check schedule of interviews (Do I have any interviews today)
Do i have any interview scheduled for April 20 at 3 pm?,20-Apr,3:00 PM,,,,,,Date of inquiry,Time of inquiry,,,,,Check schedule of interviews (Do I have any interviews today)
Do i have any interviews work today,11/2/2020,23:00,,,,,,Date of inquiry,Time of inquiry,,,,,Check schedule of interviews (Do I have any interviews today)
Please show my interview schedule today May 13th in 5 minutes,May 13th,5 minutes,,,,,,Date of inquiry,Time of inquiry,,,,,Check schedule of interviews (Do I have any interviews today)
Do I have any interviews on january 25 at 3pm?,25-Jan,3pm,,,,,,Date of inquiry,Time of inquiry,,,,,Check schedule of interviews (Do I have any interviews today)
have any interview on feb 12 at 10 am,12-Feb,10:00 AM,,,,,,Date of inquiry,Time of inquiry,,,,,Check schedule of interviews (Do I have any interviews today)
